om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,date_tim,hour,year,length,width,cas,area_pth,ma,ed,id,total_pp,total_ml,ml_und18,ml18t44,ml45t64,ml_ovr65,totl_fml,fml_un18,fml1844,fml4564,fml_ov65,white,black,ttl_hsn_u,mobl_hms,mdn_incm,pop_d,pop_under18,pop18to44,pop45to64,PopOver65
2,1995,1,"06",1995/01/06,11:05:00,3,LA,22,2,1,8,0,5,0,30.23,-92.18,30.23,-92.1,5,30,0,1995/01/06 17:05:00+00,11,1995,8046.7,21.5450424183188,8,173366.492827486,Jan,8522662539.34212,1,30.220191222366,14.7144023696184,4.57323356553091,6.52546583940316,2.71599002488049,0.884790290489117,15.5057888527476,4.49354635541161,7.06284596554624,2.95574220112025,1.00857697998422,27.5914799980275,1.78783634985721,11.6969967794755,2.98459584967199,52375.7829806814,174.313909968967,9.06677992094252,13.5883118049494,5.67173222600074,1.89336727047333
6,1995,1,"06",1995/01/06,22:15:00,3,NC,37,1,0,3,1,5,0,34.7,-78.55,34.7001,-78.5499,2,150,0,1995/01/07 04:15:00+00,22,1995,3218.68,107.725212091594,4,346732.985654972,Jan,13335505910.5341,2,0.056696286303054,0.0282493447735,0.007208988864599,0.011544904462574,0.006299622641783,0.003077235236983,0.028446941529554,0.00716940386643,0.011083509955793,0.006662051065877,0.003650570209015,0.035688898162667,0.019122632269723,0.0357943110799,0.012698170112702,41093.599,0.16351569838663,0.014378392731029,0.022628414418367,0.01296167370766,0.006727805445998
7,1995,1,"06",1995/01/06,23:30:00,3,NC,37,2,1,1,0,4,0,35.12,-78.1,35.1201,-78.0999,1,73,0,1995/01/07 05:30:00+00,23,1995,1609.34,52.4262698845757,1,84371.6931760431,Jan,4147695769.1465,3,0.053237110941976,0.026185086643956,0.006749091258763,0.010651885774037,0.005747290625508,0.003164073732824,0.02705202429802,0.007011458696818,0.00985750572862,0.005922221836107,0.004133583289298,0.032561718463777,0.016185021570593,0.022957730727227,0.006629055487149,38749.355,0.630983081386026,0.013760549955581,0.020509391502657,0.011669512461615,0.007297657022122
8,1995,1,"06",1995/01/06,23:40:00,3,NC,37,3,1,8,0,4,0,35.32,-77.73,35.3201,-77.7299,1,100,0,1995/01/07 05:40:00+00,23,1995,1609.34,71.8168080610627,8,115577.661884991,Jan,5681775026.22808,4,0.280689930337565,0.139354068721569,0.038138029163158,0.054638186415828,0.03466452423088,0.011403694505509,0.141335861615996,0.035380600617056,0.056979153490421,0.035457314295284,0.014028427619429,0.227917309117957,0.047334291300291,0.114470467686658,0.029850403300441,56224.4125,2.42858287457722,0.073518629780214,0.111617339906249,0.070121838526164,0.025432122124938
9,1995,1,"06",1995/01/06,23:45:00,3,NC,37,4,1,13,0,5,0,35,-78.4,35.0001,-78.3999,1,73,0,1995/01/07 05:45:00+00,23,1995,1609.34,52.4262698845757,13,84371.6931760431,Jan,4147695769.1465,5,0.070093990069128,0.034286173847782,0.008862924533499,0.013487365446936,0.007786565580048,0.004171584104498,0.035807816221346,0.008655018052834,0.013568957390873,0.008476916208141,0.005084658752299,0.043082078693624,0.023619482715585,0.029810263902481,0.008350843661791,43011.6905,0.830776145772914,0.017517942586333,0.027056322837809,0.016263481788189,0.009256242856797
10,1995,1,"06",1995/01/06,23:45:00,3,NC,37,5,1,22,0,6,0,35.23,-77.85,35.2301,-77.8499,0.5,50,0,1995/01/07 05:45:00+00,23,1995,804.67,35.9084040305313,22,28894.4154712476,Jan,1420443756.55702,6,0.094134909715245,0.047466398531007,0.011690157399755,0.019759206217712,0.011386907870014,0.003861888142408,0.046668511184238,0.012385236357447,0.019385443947117,0.01109736095588,0.004568708824913,0.073864157231345,0.016210615833262,0.039196293565727,0.014433848693113,56323.304,3.2578928550715,0.024075393757202,0.039144650164829,0.022484268825894,0.008430596967321
12,1995,1,"07",1995/01/07,03:50:00,3,FL,12,1,2,20,1,6,0,29,-82.12,29,-81.92,12,440,0,1995/01/07 09:50:00+00,3,1995,19312.08,315.993955468676,21,6102500.5475275,Jan,402329283249.385,7,632.572962569525,306.985441039172,67.4362013900061,96.3625987055125,69.9614191372932,73.4634090884374,325.587521530352,71.8571980066992,98.1495206509958,77.6777075122792,77.6649080783012,585.518514575201,27.6792103672028,295.298381619845,132.396470420142,43845.4837013183,103.657993578684,139.293399396705,194.512119356508,147.639126649572,151.128317166739
27,1995,1,"18",1995/01/18,13:55:00,3,LA,22,5,1,0,1,0,0,31.15,-92.5,31.2,-92.35,5,20,0,1995/01/18 19:55:00+00,13,1995,8046.7,14.3633616122125,1,115577.661884991,Jan,5681775026.22808,8,2.12266562381763,1.04543291680339,0.311314264908815,0.389741829170701,0.21739218664674,0.118794792224255,1.07723270701423,0.311824175433327,0.40384362056057,0.226567367122401,0.143187387750817,1.50625831253447,0.586205746060358,0.81986536635719,0.129414414783201,44473.7130980451,18.3657082969013,0.623138440342142,0.793585449731271,0.443959553769141,0.261982179975072
28,1995,1,"18",1995/01/18,14:48:00,3,LA,22,6,1,1,0,5,0,30.38,-91.23,30.45,-91.22,5,30,0,1995/01/18 20:48:00+00,14,1995,8046.7,21.5450424183188,1,173366.492827486,Jan,8522662539.34212,9,21.5870570530369,10.2659564340734,3.04785572979083,4.24676763110532,2.04048200636578,1.0650368601958,11.3211006189634,3.00826911314922,4.52355077012117,2.29148221923133,1.3636127230774,12.1243452766074,9.26648001045265,8.29246272958762,1.16148243480564,56082.257856455,124.516893091434,6.05612484294006,8.77031840122649,4.33196422559711,2.4286495832732
41,1995,2,"16",1995/02/16,04:59:00,3,AL,1,2,3,130,6,6,0,34.25,-86.58,34.27,-86.32,14,703,0,1995/02/16 10:59:00+00,4,1995,22530.76,504.872160669271,136,11375153.4827208,Feb,983701687391.727,10,550.162827972061,264.387842101832,70.8313848240571,102.164605176242,58.7434965379301,34.8013437445004,285.774985870229,69.7128823271853,108.333526874658,61.4788304350566,44.0967580524311,510.707369406906,27.8637570076931,230.677493727216,40.4759104390983,41397.1866744327,48.3653103061665,140.544267151242,210.498132050901,120.222326972987,78.8981017969315
